Date,ON,1M,2M,3M,6M
2020-01-02,1.5400,1.5510,1.5610,1.5640,1.5575
2020-01-03,1.5500,1.5540,1.5695,1.5730,1.5570
2020-01-06,1.5500,1.5510,1.5795,1.5820,1.5810
2020-01-07,1.5600,1.5725,1.5843,1.5840,1.5620
2020-01-08,1.5500,1.5720,1.5795,1.5850,1.5725
2020-01-09,1.5500,1.5705,1.5810,1.5837,1.5705
2020-01-10,1.5500,1.5690,1.5813,1.5850,1.5720
2020-01-13,1.5400,1.5822,1.5875,1.5911,1.5790
2020-01-14,1.5500,1.5750,1.5805,1.5858,1.5758
2020-01-15,1.5600,1.5745,1.5807,1.5873,1.5772
2020-01-16,1.5500,1.5741,1.5785,1.5859,1.5745
2020-01-17,1.5400,1.5773,1.5815,1.5855,1.5743
2020-01-21,1.5400,1.5745,1.5785,1.5798,1.5635
2020-01-22,1.5400,1.5715,1.5785,1.5830,1.5675
2020-01-23,1.5400,1.5780,1.5809,1.5850,1.5521
2020-01-24,1.5300,1.5835,1.5820,1.5840,1.5580
2020-01-27,1.5300,1.5755,1.5755,1.5729,1.5380
2020-01-28,1.5300,1.5800,1.5810,1.5815,1.5525
2020-01-29,1.5300,1.5875,1.5860,1.5820,1.5470
2020-01-30,1.5800,1.5865,1.5875,1.5801,1.5400
2020-01-31,1.6000,1.5859,1.5689,1.5526,1.4814
2020-02-03,1.5900,1.5880,1.5815,1.5720,1.5135
2020-02-04,1.6000,1.5885,1.5850,1.5800,1.5334
2020-02-05,1.5900,1.5900,1.5890,1.5791,1.5505
2020-02-06,1.5900,1.5910,1.5855,1.6090,1.5440
2020-02-07,1.5800,1.5865,1.5835,1.5666,1.5265
2020-02-10,1.5800,1.5790,1.5730,1.5569,1.5115
2020-02-11,1.5800,1.5960,1.5755,1.5649,1.5210
2020-02-12,1.5700,1.5786,1.5746,1.5644,1.5259
2020-02-13,1.5700,1.5821,1.5736,1.5601,1.5145
2020-02-14,1.5800,1.5826,1.5680,1.5530,1.5021
2020-02-18,1.6000,1.5793,1.5680,1.5517,1.4952
2020-02-19,1.5900,1.5820,1.5787,1.5644,1.5121
2020-02-20,1.6000,1.5807,1.5760,1.5569,1.4975
2020-02-21,1.5800,1.5829,1.5730,1.5534,1.4748
2020-02-24,1.5800,1.5810,1.5465,1.5220,1.4145
2020-02-25,1.5900,1.5719,1.5530,1.5109,1.3980
2020-02-26,1.5800,1.5500,1.5322,1.4778,1.3457
2020-02-27,1.5800,1.4800,1.4290,1.3600,1.2095
2020-02-28,1.6000,1.3855,1.3050,1.2360,1.0745
2020-03-02,1.5900,1.2601,1.1961,1.1164,0.9690
2020-03-03,1.6400,0.9630,0.8790,0.8250,0.6695
2020-03-04,1.2300,0.9888,0.8959,0.8197,0.6866
2020-03-05,1.1200,0.7800,0.7338,0.6638,0.5391
2020-03-06,1.1000,0.6845,0.6170,0.5460,0.4295
2020-03-09,1.0900,0.5090,0.3940,0.3300,0.2340
2020-03-10,1.1100,0.5340,0.4720,0.4590,0.3345
2020-03-11,1.1500,0.4148,0.3340,0.2829,0.2156
2020-03-12,1.2000,0.2250,0.1950,0.1860,0.1347
2020-03-13,1.1000,0.2375,0.1976,0.1760,0.1503
2020-03-16,0.2600,0.1451,0.1379,0.1321,0.1164
2020-03-17,0.5400,0.1527,0.1419,0.1355,0.1294
2020-03-18,0.1000,0.1592,0.1431,0.1338,0.1225
2020-03-19,0.0600,0.1079,0.1109,0.1118,0.1045
2020-03-20,0.0400,0.1356,0.1062,0.1006,0.0847
2020-03-23,0.0200,0.0616,0.0638,0.0653,0.0638
2020-03-24,0.0100,0.0552,0.0628,0.0664,0.0700
2020-03-25,0.0100,0.0436,0.0570,0.0551,0.0578
2020-03-26,0.0100,0.0380,0.0465,0.0501,0.0484
2020-03-27,0.0100,0.0445,0.0511,0.0536,0.0471
2020-03-30,0.0100,0.0438,0.0520,0.0576,0.0628
2020-03-31,0.0100,0.0460,0.0530,0.0583,0.0634
2020-04-01,0.0100,0.0505,0.0548,0.0606,0.0647
2020-04-02,0.0100,0.0530,0.0600,0.0662,0.0705
2020-04-03,0.0100,0.0440,0.0515,0.0598,0.0630
2020-04-06,0.0100,0.0487,0.0612,0.0682,0.0711
